run,seed,eval,test_wind,success_rate,vy,abs_x,tilt_deg,fuel_kg
phase2_ppo_wind,0,eval_wind15,15.0,0.94,-0.3856183332692609,5.015522986845074,1.7630982362044594,789.5868265348232
phase2_ppo_wind,0,eval_wind2.5,2.5,0.99,-0.381237993951461,1.2369163196839807,0.8611712759432862,789.1141587420341
phase2_ppo_wind,0,eval_wind5,5.0,1.0,-0.3779505673027025,1.378345516925753,0.8795599949711291,783.3649444497471
phase2_ppo_wind,0,eval_wind7.5,7.5,1.0,-0.37764519094507315,1.8936384779354833,0.9265722803995367,781.1689303966325
phase2_ppo_wind,1,eval,,1.0,-2.080395659915203,3.3403518710103497,0.2655150698859278,2437.367139669873
phase2_ppo_wind,1,eval_wind0,0.0,1.0,-2.1148199537354357,2.216186878640194,0.17024134034505323,2422.6488065782587
phase2_ppo_wind,1,eval_wind10,10.0,0.47,-2.083053809339739,10.10751729027712,0.611946923071677,2428.534678220283
phase2_ppo_wind,1,eval_wind12.5,12.5,0.16,-2.060009658640607,15.547889229899763,1.0090670055871,2457.0874734209538
phase2_ppo_wind,1,eval_wind15,15.0,0.02,-2.185298747926052,22.29805266652876,1.433243061531936,2410.1829071927423
phase2_ppo_wind,1,eval_wind2.5,2.5,1.0,-2.0481066277423388,2.165068725452286,0.17126761406591334,2460.5850925765926
phase2_ppo_wind,1,eval_wind5,5.0,1.0,-2.080395659915203,3.3403518710103497,0.2655150698859278,2437.367139669873
phase2_ppo_wind,1,eval_wind7.5,7.5,0.92,-2.0691609129599917,6.122079723012546,0.4432771647237193,2440.181531868704
phase2_ppo_wind,2,eval,,1.0,-0.3624040626043743,2.810573312265987,0.4618534243510816,735.8326428974032
phase2_ppo_wind,2,eval_wind0,0.0,1.0,-0.3436700891046375,2.845513616386047,0.45624366135398775,732.9216761465186
phase2_ppo_wind,2,eval_wind10,10.0,0.98,-0.36347560946220336,3.727207937793297,0.8209928462822772,724.5395426886622
phase2_ppo_wind,2,eval_wind12.5,12.5,0.89,-0.46841331157122185,5.083166864335391,1.1736085762139852,745.1791894400494
phase2_ppo_wind,2,eval_wind15,15.0,0.72,-0.5015675332651411,6.549606526913232,1.6367667999653215,761.7008199071226
phase2_ppo_wind,2,eval_wind2.5,2.5,1.0,-0.3495509025424498,2.460546120027122,0.4055135117507129,739.3754932740006
phase2_ppo_wind,2,eval_wind5,5.0,1.0,-0.3624040626043743,2.810573312265987,0.4618534243510816,735.8326428974032
phase2_ppo_wind,2,eval_wind7.5,7.5,0.97,-0.3917613890686352,3.2001689585144737,0.6141129309776141,735.1326463188681
phase2_ppo_wind,3,eval,,1.0,-1.4121630756503765,3.022590260100748,0.361333212354174,1474.644865001502
phase2_ppo_wind,3,eval_wind0,0.0,1.0,-1.3727100783342667,1.5090825752476993,0.2959260347734247,1480.3033934107088
phase2_ppo_wind,3,eval_wind10,10.0,0.67,-1.4113788832365444,8.492355016662735,1.1942824876683726,1470.382427260757
phase2_ppo_wind,3,eval_wind12.5,12.5,0.27,-1.4254716493412034,11.969351085621536,1.6749245436886055,1470.5997904218384
phase2_ppo_wind,3,eval_wind15,15.0,0.11,-1.446794556354837,17.28366120782782,2.2625366349775153,1450.3519419694662
phase2_ppo_wind,3,eval_wind2.5,2.5,1.0,-1.4166669002123669,1.7273189866363017,0.2517020900694821,1471.9177275757795
phase2_ppo_wind,3,eval_wind5,5.0,1.0,-1.4121630756503765,3.022590260100748,0.361333212354174,1474.644865001502
phase2_ppo_wind,3,eval_wind7.5,7.5,0.96,-1.3755818109671403,5.584707908857121,0.741621127447015,1478.315696493428
phase2_ppo_wind,4,eval,,1.0,-0.3249199170835577,0.9051087426875373,1.0777906087389766,806.4054129377009
phase2_ppo_wind,4,eval_wind0,0.0,1.0,-0.32934315183036117,0.5795156782660674,1.1943931379074826,808.0865358810274
phase2_ppo_wind,4,eval_wind10,10.0,1.0,-0.3449336681004072,2.249288196252202,1.2456085261351373,806.6543134831384
phase2_ppo_wind,4,eval_wind12.5,12.5,1.0,-0.29665355055317694,3.0220313002865797,1.4952180098405905,809.3812464426426
phase2_ppo_wind,4,eval_wind15,15.0,0.95,-0.3333276234916776,3.868345828656155,2.0655269884709244,872.276269151098
phase2_ppo_wind,4,eval_wind2.5,2.5,1.0,-0.3308019482302285,0.5869850858601815,1.1529226754314883,809.3038588772922
phase2_ppo_wind,4,eval_wind5,5.0,1.0,-0.3249199170835577,0.9051087426875373,1.0777906087389766,806.4054129377009
phase2_ppo_wind,4,eval_wind7.5,7.5,1.0,-0.3014191295506617,1.343806406049206,1.1356001217330387,807.7871074717964
phase2_sac_gimbal,0,eval,,1.0,-0.3120972131897904,1.1575737503963968,1.8342533759791093,2018.2845780550301
phase2_sac_gimbal,1,eval,,1.0,-0.298167330418153,4.424406390856823,1.7737873258716157,1240.7488642756775
phase2_sac_gimbal,2,eval,,0.99,-0.6652409057216399,1.806270496278414,3.520719647047267,907.1084972681327
phase2_sac_gimbal,3,eval,,1.0,-0.1963519541324165,2.8143128983317753,1.4857305617356147,1008.4463940530965
phase2_sac_gimbal,4,eval,,0.98,-0.4156816253798844,3.088657864682939,3.9918722568942617,986.1702437323365
phase2_sac_mass,0,eval,,1.0,-0.31736537583851726,3.7049545922329354,2.667519251760035,1113.3544897136399
phase2_sac_mass,1,eval,,1.0,-0.47966347292646705,3.5598718111447174,0.41175724292767085,656.9493346143286
phase2_sac_mass,2,eval,,1.0,-0.42695495049849874,3.9392219839318043,0.8116125115421707,943.0492626452589
phase2_sac_mass,3,eval,,1.0,-0.3837518120013293,2.9686008171206884,1.1474412631178357,943.6830201273098
phase2_sac_mass,4,eval,,1.0,-0.6603648025606219,2.920738863516276,2.584622539709532,834.6776888953859
phase2_sac,0,eval,,1.0,-0.21317739748422201,2.892450668605743,0.4573368429155824,1040.190071181879
phase2_sac,0,eval_wind0,0.0,1.0,-0.23843810769298865,2.8574797141306267,0.4643183839425641,1038.7208837388407
phase2_sac,0,eval_wind10,10.0,0.97,-0.21115463707234172,3.085528315652735,0.7046681027198354,1050.5295632495672
phase2_sac,0,eval_wind12.5,12.5,0.79,-0.22109055185990284,4.992294976637249,0.9421150646911441,1379.8347407881554
phase2_sac,0,eval_wind15,15.0,0.72,-0.20385787356861412,5.354331581923231,0.9744009429359763,1413.7109159300453
phase2_sac,0,eval_wind2.5,2.5,1.0,-0.23239542293694757,2.7987357705829594,0.5339912479528937,1031.0229767293138
phase2_sac,0,eval_wind5,5.0,1.0,-0.21317739748422201,2.892450668605743,0.4573368429155824,1040.190071181879
phase2_sac,0,eval_wind7.5,7.5,1.0,-0.21908549313654332,3.1286803457961514,0.48613855329469535,1067.9016265727776
phase2_sac,1,eval,,0.96,-0.2217029577685834,7.336802855426878,1.1113240299611586,1052.5124710201462
phase2_sac,1,eval_wind0,0.0,1.0,-0.23236292188257537,7.687949435961799,1.0340445465122314,1062.3847728042524
phase2_sac,1,eval_wind10,10.0,0.76,-0.18187368039192642,7.477848609799244,1.0122691257131373,1066.2439559031125
phase2_sac,1,eval_wind12.5,12.5,0.59,-0.15366781587404324,8.474592754770212,1.145760748905792,1124.469122208717
phase2_sac,1,eval_wind15,15.0,0.55,-0.15961826842022803,8.27271142163216,1.4754761762529107,1418.355931246702
phase2_sac,1,eval_wind2.5,2.5,1.0,-0.20372038558307756,7.589466833971812,0.8855673493893751,1055.3980478491642
phase2_sac,1,eval_wind5,5.0,0.96,-0.2217029577685834,7.336802855426878,1.1113240299611586,1052.5124710201462
phase2_sac,1,eval_wind7.5,7.5,0.79,-0.21712769003643959,7.6229410189790805,0.7584204390905627,1071.505170839
phase2_sac,2,eval,,1.0,-0.2563314002546079,1.3072815350339817,2.010849786453981,1545.7040222855574
phase2_sac,2,eval_wind0,0.0,1.0,-0.24614417820019802,1.372886130970194,1.985804676412482,1549.6845888464181
phase2_sac,2,eval_wind10,10.0,0.86,-0.24558213652706573,3.3353427090921186,2.127315806576136,1733.227730242961
phase2_sac,2,eval_wind12.5,12.5,0.75,-0.2685696556327391,3.3552457400832356,2.042496717561353,1910.2343127006297
phase2_sac,2,eval_wind15,15.0,0.6,-0.28884234795393865,9.090205114840163,1.6559963805835154,2107.8104979761224
phase2_sac,2,eval_wind2.5,2.5,1.0,-0.25244102317775374,1.3396316043787366,1.9952222520570084,1545.503841544446
phase2_sac,2,eval_wind5,5.0,1.0,-0.2563314002546079,1.3072815350339817,2.010849786453981,1545.7040222855574
phase2_sac,2,eval_wind7.5,7.5,0.98,-0.24812665336964818,1.6399438741584649,2.1075516818337334,1571.3960854920151
phase2_sac,3,eval,,1.0,-0.4685518151539047,6.414457174059796,2.2893070591680362,2084.3591330775885
phase2_sac,3,eval_wind0,0.0,1.0,-0.5227536959980901,6.6225520575948735,2.330938654674735,2096.4789236788074
phase2_sac,3,eval_wind10,10.0,0.88,-0.5039102221706363,6.650188284785124,2.5449704236354758,2129.475789424942
phase2_sac,3,eval_wind12.5,12.5,0.76,-0.5476771179554377,5.567413114544666,2.4412029839134957,2078.104797312443
phase2_sac,3,eval_wind15,15.0,0.63,-0.5241572883104829,5.78071768675717,2.5262658688923025,2162.1876308131837
phase2_sac,3,eval_wind2.5,2.5,1.0,-0.4909258812332564,6.606851652366555,2.339177536272288,2097.2292629391113
phase2_sac,3,eval_wind5,5.0,1.0,-0.4685518151539047,6.414457174059796,2.2893070591680362,2084.3591330775885
phase2_sac,3,eval_wind7.5,7.5,0.98,-0.4387259378503367,6.775957546817535,2.590169154833406,2132.1926077592257
phase2_sac,4,eval,,0.0,,,,2766.0618557169273
phase2_sac,4,eval_wind0,0.0,0.0,,,,2771.467496252428
phase2_sac,4,eval_wind10,10.0,0.0,,,,2760.9423065342535
phase2_sac,4,eval_wind12.5,12.5,0.0,-0.2930055096496742,23.643522537490803,7.197891108721327,2764.5706108031804
phase2_sac,4,eval_wind15,15.0,0.0,-0.4326115284687596,31.274347057460822,8.35676095534767,2773.0249434917914
phase2_sac,4,eval_wind2.5,2.5,0.0,,,,2769.4060933944334
phase2_sac,4,eval_wind5,5.0,0.0,,,,2766.0618557169273
phase2_sac,4,eval_wind7.5,7.5,0.0,,,,2760.9364170358867
phase2_sac_wind,0,eval,,0.97,-0.7817359704807203,3.40105162993755,0.8481472459420349,666.7076936674159
phase2_sac_wind,0,eval_wind0,0.0,0.99,-0.7717703095061362,3.4903244116372947,0.8460725626114791,663.9651147291345
phase2_sac_wind,0,eval_wind10,10.0,0.98,-0.7780094598440912,3.6508751340580754,0.8890963553669522,730.6931756453922
phase2_sac_wind,0,eval_wind12.5,12.5,0.87,-0.7401027668178187,4.361527034797561,1.0028561418384463,881.6648810429734
